quantidade	codigo	descricao	valor
1250	C-18	PEDIDOS DE ORAÇÃO - BLOCO 50 FLS.	0.5
3375	C-19	RECITATIVOS - BLOCO 50 FLS.	0.5
2	C-24	QUADRO "EM NOME DO..." - 84 X 40 CM, ACRÍLICO	25
2	C-25	QUADRO "CASA DE ORAÇÃO" - 84 X 40 CM, ACRÍLICO	25
1	C-26	TOALHA COM 4 GUARDANAPOS PARA SANTA CEIA	145
0	C-27	JARRA DE VIDRO LAPIDADO	20
0	C-27N	JARRA DE VIDRO REFORÇADA	50
4	C-28	CÁLICE DE VIDRO LAPIDADO	19
6	C-28G	CÁLICE DE VIDRO - GRANDE	23
40	C-28N	CÁLICE PARA SANTA CEIA - NOVO	24
17	C-28P	CÁLICE DE VIDRO - PEQUENO	21
0	C-29	PIRES DE AÇO INOX PEQUENO - PARA CÁLICE	30
2	C-30	PIRES DE AÇO INOX GRANDE - PARA JARRA	35
3	C-31	PRATO DE AÇO INOX PEQUENO - PARA SERVIR	40
8	C-32	PRATO DE AÇO INOX GRANDE 35 CM - PARA PÃO INTEIRO / SUPORTE DE COPINHOS	50
3750	C-41	ENVELOPE PARA RECEBIMENTO DE COLETAS	0.1
4	C-42	LIVRO DE ADESÃO - CONSTRUÇÃO E REFORMA	20
24	C-43N	LIVRO DE PRESENÇAS - CONSTRUÇÃO E REFORMA	25
27	C-44	LIVRO DE ADESÃO - ADMINISTRAÇÃO, LIMPEZA E OUTROS	20
4	C-45N	LIVRO DE PRESENÇAS - ADMINISTRAÇÃO, LIMPEZA E OUTROS	25
156	C-48N	LIVRO DE MANUTENÇÃO PREVENTIVA (NOVO)	25
17	C-50	LIVRO REGISTRO DE COLETAS AUTO COPIATIVO (NOVO)	25
2	C-53	KIT ETIQUETA PATRIMÔNIO ( COM 1.008 ETIQUETAS )	300
5	C-58	BANDEJA SUPORTE DE COPINHOS	12
9	C-59	PLACA CONSTITUIÇÃO DA IGREJA  - PEQUENA 18 X 31,5 CM	13
2	C-60	PLACA CONSTITUIÇÃO DA IGREJA - MÉDIA 21 X 37 CM	15
3	C-61	PLACA CONSTITUIÇÃO DA IGREJA - GRANDE 26,5 X 47,5 CM	20
1	C-61	PLACA CONSTITUIÇÃO DA IGREJA - GRANDE 26,5 X 47,5 CM	20
